date,notes,state,url
2020-03-16,,AP,https://www.portal.ap.gov.br/noticia/1603/boletim-informativo-covid-19-amapa-16-de-marco-de-2020
2020-03-17,,AP,https://www.portal.ap.gov.br/noticia/1703/boletim-informativo-covid-19-amapa-17-de-marco-de-2020
2020-03-18,,AP,https://www.portal.ap.gov.br/noticia/1803/boletim-informativo-covid-19-amapa-18-de-marco-de-2020
2020-03-19,,AP,https://www.portal.ap.gov.br/noticia/1903/boletim-informativo-covid-19-amapa-19-de-marco-de-2020
2020-03-20,,AP,https://www.portal.ap.gov.br/noticia/2003/boletim-informativo-covid-19-amapa-20-de-marco-de-2020
2020-03-20,,AP,https://www.portal.ap.gov.br/noticia/2003/coronavirus-primeiro-caso-e-confirmado-no-amapa
2020-03-21,,AP,https://www.portal.ap.gov.br/noticia/2103/boletim-informativo-covid-19-amapa-21-de-marco-de-2020
2020-03-22,,AP,https://www.portal.ap.gov.br/noticia/2203/boletim-informativo-covid-19-amapa-22-de-marco-de-2020
2020-03-23,,AP,https://www.portal.ap.gov.br/noticia/2303/2-ordm-boletim-informativo-covid-19-amapa-23-de-marco-de-2020
2020-03-24,,AP,https://www.portal.ap.gov.br/noticia/2403/boletim-informativo-covid-19-amapa-24-de-marco-de-2020
2020-03-25,,AP,https://www.portal.ap.gov.br/noticia/2503/boletim-informativo-covid-19-amapa-25-de-marco-de-2020
2020-03-25,https://www.instagram.com/p/B-Lba2CpJML/,AP,https://www.portal.ap.gov.br/noticia/2503/amapa-confirma-o-segundo-caso-de-covid-19
2020-03-25,,AP,"https://www.tjap.jus.br/portal/publicacoes/noticias/10334-presidente-do-tjap-testa-positivo-para-coronav%C3%ADrus-mas,-tranquiliza-a-todos-que-segue-sem-sintomas-severos.html"
2020-03-26,,AP,https://www.portal.ap.gov.br/noticia/2603/boletim-informativo-covid-19-amapa-26-de-marco-de-2020
2020-03-27,,AP,https://www.portal.ap.gov.br/noticia/2703/boletim-informativo-covid-19-amapa-27-de-marco-de-2020
2020-03-27,Boletim das 21h - Adiciona uma confirmação. O município foi informada através da conta do facebook da secretaria (https://www.facebook.com/governo.ap/posts/2705336023045618).,AP,https://www.portal.ap.gov.br/noticia/2703/amapa-confirma-terceiro-caso-de-covid-19
2020-03-28,"Boletim informa que o novo caso deu entrada pela UBS Lélio Silva, que fica em Macapá",AP,https://www.portal.ap.gov.br/noticia/2803/boletim-informativo-covid-19-amapa-confirma-4-ordm-caso-de-novo-coronavirus
2020-03-29,,AP,https://www.portal.ap.gov.br/noticia/2903/boletim-informativo-covid-19-amapa-29-de-marco-de-2020
2020-03-29,4 casos adicionados,AP,https://www.portal.ap.gov.br/noticia/2903/atualizacao-boletim-informativo-covid-19-amapa-29-de-marco-de-2020
2020-03-30,,AP,https://www.portal.ap.gov.br/noticia/3003/boletim-informativo-covid-19-amapa-30-de-marco-de-2020
2020-03-31,,AP,https://portal.ap.gov.br/noticia/3103/boletim-informativo-covid-19-amapa-31-de-marco-de-2020
2020-03-31,,AP,https://www.portal.ap.gov.br/noticia/3103/boletim-informativo-covid-19-amapa-31-de-marco-de-2020
2020-04-01,,AP,https://www.portal.ap.gov.br/noticia/0104/boletim-informativo-covid-19-amapa-1-ordm-de-abril-de-2020
2020-04-02,,AP,https://www.portal.ap.gov.br/noticia/0204/boletim-informativo-covid-19-amapa-2-de-abril-de-2020
